"Label","Mean","SD","Min.","25%","50%","75%","Max.","Skewness","Kurtosis","BoxCox.lambda"
"calc.age.dec",20.6147727272727,2.27066580609297,16.6,18.725,20.155,22.415,25.49,0.322422236814814,-0.818853544407017,0.528116875781971
"ppvt.raw",172.409090909091,17.6389080791329,132,160.5,176.5,187,196,-0.640892971481872,-0.527155464236756,1.1792366598586
"ppvt.st",103.386363636364,14.6529081312176,78,92,102,115,132,0.123727164411163,-0.994633830377518,0.705141839756122
"wasi.v.raw",57.3636363636364,8.33064086172361,39,49,57.5,62.5,76,0.231537325567293,-0.550174526326359,0.771377752220569
"wasi.v.t",53.25,9.73157173184748,36,44,52.5,60,74,0.375068828473352,-0.766115574988616,0.577949594613278
"piat.l.raw",93.9545454545455,6.15669250322616,76,92,96,98.5,100,-1.43147895985392,1.42150272434368,2.08488766813476
"piat.l.grade",11.9954545454545,1.83619355334009,6.9,11.6,13,13,13,-1.77587017954277,1.81637214371833,3.49769685917295
"wid.raw",67.6136363636364,5.37961660729068,56,63,68,72,76,-0.206572363618227,-1.0109042007577,0.98351113408076
"wid.grade",13.1840909090909,4.81175610653248,5.6,8.5,12.7,19,19,0.0527569435244049,-1.61598672047459,0.557757762946725
"watt.raw",27.2272727272727,3.05654947851131,20,25.5,28,30,32,-0.594172847828485,-0.463827137692141,1.38362295580797
"watt.grade",10.8318181818182,4.66659443214003,4.3,7.1,10.2,15.4,19,0.401671257018426,-1.17194880770083,0.361181118140271
"piat.r.raw",89.4772727272727,10.2514630523934,68,83.5,95,97.5,99,-0.985159381159666,-0.357367418169555,1.33530081581561
"piat.r.grade",10.7886363636364,2.85650753658273,5,8.5,13,13,13,-0.827824821910859,-0.922542117528882,1.61545971151478
"gort.comp",11.75,2.46958239573057,4,10,12,14,15,-0.727302062919914,0.750576390291323,1.56967678103371
"mrt",10.5,5.97475308432111,1,5,11.5,15,22,0.182308925399888,-1.11824411449499,0.605715612519741
"art",7.38636363636364,6.29586763361828,0,3,5.5,11.5,26,1.07612540463858,0.429927603271775,0.135501364697428
"corsi",4.98863636363636,1.39203981316543,2.1,4.15,4.5,6.1,8,0.245791588496404,-0.358400765627563,0.706710416720253
"gort.wpm",177.005697632093,39.0404213148307,87.3387096774193,149.912347926046,176.819272291084,197.812343619683,288.8,0.418827866105931,0.676683148465853,0.791465138475332
"sspan.corr",31.8863636363636,5.77973971044609,20,27,33,36.5,42,-0.324958772363498,-0.909669494371009,1.04227296107076
