"Label","Mean","SD","Min.","25%","50%","75%","Max.","Skewness","Kurtosis","BoxCox.lambda"
"calc.age.dec",20.6147727272727,2.27066580609297,16.6,18.725,20.155,22.415,25.49,0.322422236814814,-0.818853544407017,0.528116875781971
"ppvt.raw_bct",69.1156725334354,32.9939798100038,0,45.03799561161,75.6476430602291,96.8591645354147,115.632411489582,-0.475505615739257,-0.855785857118993,1.00874380654121
"ppvt.st",103.386363636364,14.6529081312176,78,92,102,115,132,0.123727164411163,-0.994633830377518,0.705141839756122
"wasi.v.raw",57.3636363636364,8.33064086172361,39,49,57.5,62.5,76,0.231537325567293,-0.550174526326359,0.771377752220569
"wasi.v.t",53.25,9.73157173184748,36,44,52.5,60,74,0.375068828473352,-0.766115574988616,0.577949594613278
"piat.l.raw_bct",246.090170216362,118.36076008048,0,175.82555793375,273.422886479485,345.987540421522,393.492237350312,-0.683911515065021,-0.572435058885795,1.02944334179739
"piat.l.grade",11.9954545454545,1.83619355334009,6.9,11.6,13,13,13,-1.77587017954277,1.81637214371833,3.49769685917295
"wid.raw",67.6136363636364,5.37961660729068,56,63,68,72,76,-0.206572363618227,-1.0109042007577,0.98351113408076
"wid.grade",13.1840909090909,4.81175610653248,5.6,8.5,12.7,19,19,0.0527569435244049,-1.61598672047459,0.557757762946725
"watt.raw_bct",13.1426192699177,6.48535308853455,0,8.92508950915167,14.3882902678818,19.2242358078229,24.4111569772641,-0.304472005436771,-0.896893802110993,1.01809388470715
"watt.grade",10.8318181818182,4.66659443214003,4.3,7.1,10.2,15.4,19,0.401671257018426,-1.17194880770083,0.361181118140271
"piat.r.raw_bct",49.6545151082973,26.1325836389332,0,30.8897201790385,63.3443390590008,71.1022677356123,75.8546521229869,-0.769889061138438,-0.840942777684806,1.02574791036071
"piat.r.grade",10.7886363636364,2.85650753658273,5,8.5,13,13,13,-0.827824821910859,-0.922542117528882,1.61545971151478
"gort.comp_bct",19.2446628840126,7.96397210466855,0,12.8749541827448,19.4095885590456,26.831725941639,30.8516826499742,-0.190723606146305,-0.698557454828688,1.01756784880572
"mrt",10.5,5.97475308432111,1,5,11.5,15,22,0.182308925399888,-1.11824411449499,0.605715612519741
"art_bct",2.14104405584294,1.02640743026508,0,1.52504886574852,2.12728004144808,3.01078662714758,4.1547475524628,-0.0247242781744115,-0.623753079970343,0.935685085250523
"corsi",4.98863636363636,1.39203981316543,2.1,4.15,4.5,6.1,8,0.245791588496404,-0.358400765627563,0.706710416720253
"gort.wpm",177.005697632093,39.0404213148307,87.3387096774193,149.912347926046,176.819272291084,197.812343619683,288.8,0.418827866105931,0.676683148465853,0.791465138475332
"sspan.corr",31.8863636363636,5.77973971044609,20,27,33,36.5,42,-0.324958772363498,-0.909669494371009,1.04227296107076
