"subj","calc.age.dec","ppvt.raw","ppvt.raw_bct","ppvt.st","wasi.v.raw","wasi.v.t","piat.l.raw","piat.l.raw_bct","piat.l.grade","wid.raw","wid.grade","watt.raw","watt.raw_bct","watt.grade","piat.r.raw","piat.r.raw_bct","piat.r.grade","gort.comp","gort.comp_bct","mrt","art","art_bct","corsi","gort.wpm","sspan.corr"
"AD100AO",19.8,141,11.9645471821454,80,49,44,97,301.31938266177,13,58,6.3,25,7.90009670542438,6.7,77,15.4588167240292,7.1,11,16.0257709827896,3,2,1.18459712334706,4.5,180.5,28
"AD102RS",19.54,171,64.8582769822952,100,53,49,93,198.1387699473,12.5,65,9.8,24,5.97754334017523,6.1,91,51.4207742519408,11.3,11,16.0257709827896,7,3,1.52504886574852,5,141.56862745098,21
"AD103AC",17.78,132,0,78,48,43,79,8.15302092136021,7.3,61,7.5,26,9.95008231287895,7.5,90,48.5386488772623,11.1,7,4.97636965950139,4,3,1.52504886574852,4.5,151.468531468531,27
"AD104VS",22.84,170,62.9255655111535,96,56,50,97,301.31938266177,13,64,9.1,23,4.19772609899132,5.5,95,63.3443390590008,13,11,16.0257709827896,7,3,1.52504886574852,4.2,151.468531468531,24
"AD105SB",17.64,143,15.0377947299574,84,49,44,93,198.1387699473,12.5,61,7.5,29,16.7598265771202,12.9,89,45.6982460647673,10.6,12,19.4095885590456,5,2,1.18459712334706,2.1,136.22641509434,28
"AD107SG",18.76,148,23.1066258399279,85,49,44,83,36.143745724803,8.3,63,8.5,27,12.1158777886352,8.6,69,1.14077732384273,5.6,9,9.97098001967218,1,3,1.52504886574852,3.1,185.128205128205,22
"AD108VN",17.77,160,44.1209035506749,93,52,48,87,84.8085700789101,9.3,70,15.4,30,19.2242358078229,15.4,85,34.7804570037256,8.8,13,23.0148540935341,10,3,1.52504886574852,3.4,155.827338129496,37
"AD109BH",20.92,168,59.0869222335118,97,61,57,94,221.838524653083,13,68,12.7,26,9.95008231287895,7.5,83,29.6098127877767,8.3,12,19.4095885590456,8,3,1.52504886574852,3.5,173.28,27
"AD111TH",23.44,175,72.6742240916093,99,55,49,94,221.838524653083,13,72,19,30,19.2242358078229,15.4,97,69.5295433683051,13,11,16.0257709827896,7,8,2.55933929343255,6,122.372881355932,34
"AD112ML",20.53,156,36.9006185839504,90,49,42,92,175.82555793375,11.6,63,8.5,30,19.2242358078229,15.4,78,17.6585448320384,7.2,9,9.97098001967218,4,0,0,4.2,123.068181818182,32
