"","calc.age.dec","ppvt.raw","ppvt.st","wasi.v.raw","wasi.v.t","piat.l.raw","piat.l.grade","wid.raw","wid.grade","watt.raw","watt.grade","piat.r.raw","piat.r.grade","gort.comp","mrt","art","corsi","gort.wpm","sspan.corr"
"calc.age.dec",,,,,,,,,,,,,,,,,,,
"ppvt.raw",0.593479883770676,,,,,,,,,,,,,,,,,,
"ppvt.st",0.449859104275045,0.959438808187141,,,,,,,,,,,,,,,,,
"wasi.v.raw",0.378382748937102,0.820036395163501,0.863760630238392,,,,,,,,,,,,,,,,
"wasi.v.t",0.266368700291103,0.769597101528801,0.833833399334484,0.988519901269231,,,,,,,,,,,,,,,
"piat.l.raw",0.357708284156348,0.572804802839232,0.56758739541117,0.474612540176233,0.470245351855748,,,,,,,,,,,,,,
"piat.l.grade",0.307959061825772,0.478696222373312,0.464913817153827,0.378061829249471,0.376056237652048,0.954909587285257,,,,,,,,,,,,,
"wid.raw",0.486524612374742,0.803362302614316,0.829478267451581,0.715687331538452,0.664218613435964,0.389153238124536,0.297401567976092,,,,,,,,,,,,
"wid.grade",0.495252804728598,0.806580609686217,0.827197494950355,0.717054267989404,0.665688829015457,0.416427895832209,0.328798928475174,0.975075486670975,,,,,,,,,,,
"watt.raw",0.0955050607992287,0.364019025156341,0.449221831390353,0.350132655544801,0.32719946744907,-0.0637005268819944,-0.105888748683011,0.61786655108549,0.580248677230869,,,,,,,,,,
"watt.grade",0.017834957912307,0.349719489716042,0.447116614356767,0.34683624456035,0.32843058718294,-0.0588756354976916,-0.0777936794739906,0.566229606005832,0.533929279659019,0.936810898948631,,,,,,,,,
"piat.r.raw",0.542280677205527,0.760908073845349,0.733510790502217,0.690410739902552,0.658247092321945,0.573685884370458,0.502701375655099,0.697103200058519,0.69645235143408,0.34751293115773,0.252458830863306,,,,,,,,
"piat.r.grade",0.535541236282226,0.748507587644182,0.713347651795971,0.661892065515464,0.629304656039641,0.558665764015863,0.484428710193286,0.670432802369321,0.671952280687416,0.319132466689581,0.225709337554036,0.985667903386435,,,,,,,
"gort.comp",0.336306679669712,0.648920194886473,0.648608976908928,0.585543779072855,0.561003786952412,0.659996086837556,0.577211619210152,0.549212524648983,0.575033521360376,0.321953302128796,0.297141470792985,0.634057418687822,0.635841088076111,,,,,,
"mrt",0.469884548177215,0.708786475171515,0.695569185150879,0.638239780252967,0.60935594515769,0.460251802874791,0.345737975838583,0.677591638889045,0.716828424239091,0.26360309031751,0.222117455756796,0.63654526109766,0.614203014270622,0.60286420876113,,,,,
"art",0.35212601343042,0.687932206294822,0.774523114223076,0.792278565378949,0.771193278901489,0.361044716400524,0.256643820210949,0.779031879151776,0.783534083623943,0.472685977774482,0.452256730773315,0.583319466379764,0.54918146365222,0.480502411293154,0.699536777237994,,,,
"corsi",0.476610381247576,0.524428493067055,0.504045658289137,0.409867737094906,0.375830704501451,0.433015520616124,0.331886205335746,0.51925722125308,0.570278591566978,0.037241520964623,0.0261549619908849,0.474453746784205,0.501826577312139,0.39354351402748,0.509318089523323,0.443652427350213,,,
"gort.wpm",0.37368973957364,0.567337903090563,0.558754844546865,0.577093860989547,0.545971073980318,0.107374009316726,0.00245613755302776,0.616939798514342,0.638891382023543,0.36221339720766,0.296178723460107,0.47754317225124,0.481271840176033,0.319907803537567,0.595626481057071,0.546911500830397,0.303576520595345,,
"sspan.corr",0.318953772559379,0.616373867360384,0.631285084568682,0.669346669307017,0.657928489279387,0.357994377879585,0.252389681932297,0.600653977759762,0.621578152929214,0.388521051612287,0.395124805091935,0.570058697070399,0.537160260258402,0.545406524540035,0.46905570504159,0.517626063501993,0.446705661688264,0.473565921915991,
