"subj","region_C","std_res_f_coca_log","std_res_prevf_coca_log","prevwlen_C","printexp.comp_bct:region_C","gort.wpm.st:region_C","decod.comp_bct:region_C","decod.comp_bct:reglen_C"
0,1.21266700846043e-11,3.35161293598474e-07,5.85114033822307e-05,4.37567000029189e-08,0.00580782239496503,0.00390828708334144,0.00606060119877254,0.00491372558911171
1,1.32143886499131e-11,7.78222804803641e-07,6.62283867273994e-05,2.01730972389686e-08,0.00520553574588265,0.00354738652257783,0.00799402124460858,0.0226229374101367
2,1.56494026893525e-11,9.16558067421389e-08,3.49840731275568e-05,3.51532970683497e-07,0.00514971072518218,0.00376185911982708,0.00561411773642154,0.00438169209468806
3,7.65851241886079e-11,5.50202156308267e-07,3.09602762545432e-05,3.88423600701858e-08,0.0020976076649628,0.00348395945832395,0.00367069807969037,0.0069595438600133
4,1.01742768424569e-09,4.79382310261819e-07,4.50071758346885e-05,4.89118953788172e-08,0.019368958916559,0.00471146633092769,0.0012083733523674,0.00259143042647398
5,1.16697037932101e-11,7.46801912305033e-07,0.000102440561290718,1.2668875478876e-07,0.00567226797563448,0.0044937624192711,0.00583301932998727,0.00272302073767557
6,5.58678969562271e-11,9.66581642737311e-07,0.000204018248500536,6.40197767364738e-08,0.0114006471499676,0.0138886440087294,0.00995045877724452,0.00492048205189539
7,2.11213996906963e-11,3.52513956145996e-07,4.17138286936998e-05,3.32564705578958e-08,0.00537243494364753,0.00334886470104267,0.0077490467764783,0.00391260575588146
8,2.91987706704262e-13,2.9876860494564e-07,9.88521045672956e-05,4.53311261227482e-08,0.00127580378717782,0.00158515686247075,0.00314688116229833,0.00741747015457856
9,4.07311417834697e-12,2.77401241298185e-07,3.68689735186665e-05,6.74641787908874e-09,0.00642362113930421,0.0121865699896227,0.00425934781751338,0.0241521833444524
10,3.99239626072631e-12,2.37852493046396e-07,0.00016067591577357,7.34708640676807e-07,0.00244288489186486,0.0062264608713259,0.00259637286390777,0.00360524282526522
11,1.98081404802482e-11,6.48751508752326e-08,0.000102524214459678,6.39882492682817e-08,0.00626292968841183,0.00447543610931659,0.00777557237611472,0.0051878517368973
12,8.40548595825243e-14,1.15370528864056e-06,9.35571972115234e-05,7.12518597214826e-07,0.352300703498391,0.0735730184171597,0.274242394603642,0.0106557969359598
13,5.91414415812767e-12,5.84148241544008e-08,7.25958890887478e-05,1.13254253035811e-07,0.00513402369185739,0.00289582708441754,0.00362455639952168,0.000118110189474966
