"subj","region_C","std_res_f_coca_log","std_res_prevf_coca_log","prevwlen_C","printexp.comp_bct:region_C","gort.wpm.st:region_C","decod.comp_bct:region_C","decod.comp_bct:reglen_C"
0,6.95940736218955,-5.28955866105284,-4.20174972122503,5.66139250710272,-2.90847418695846,3.04161718625795,2.89378912255152,-2.96539518982187
1,6.94705351894859,-5.12782886591723,-4.17216079536671,5.79654680078543,-2.94587648075179,3.07330623408564,2.79647021365242,-2.39576811254346
2,6.92266564746278,-5.52924714109716,-4.32242504164892,5.28053478294328,-2.94953426918452,3.05414585893066,2.92011379782587,-3.00379152838691
3,6.68934671339884,-5.19500558924119,-4.35060157981112,5.68239665955426,-3.23975902116141,3.07917109735282,3.06216749683925,-2.84559407187083
4,6.29079482099476,-5.22146126714891,-4.263742507401,5.64168532932547,-2.45973373234264,2.97953605894793,3.40574268772224,-3.17383261509083
5,6.96492448180868,-5.1358596809905,-4.06627330223362,5.47039193750879,-2.91658283349266,2.99537191000303,2.90698537461405,-3.15818774501109
6,6.73633322538263,-5.08538327682243,-3.89316390137433,5.59377068829406,-2.66651331309154,2.59142633209524,2.71705652771676,-2.96493178405348
7,6.87921446865092,-5.28000702468654,-4.28152760766052,5.70965462218647,-2.935144120978,3.09198814764533,2.8075779264556,-3.04125407028721
8,7.47571082381493,-5.31124428481056,-4.07503305136431,5.6551451610596,-3.38976115515037,3.32509650280608,3.11204270235057,-2.82311129651397
9,7.11444653103328,-5.32519714585514,-4.31026719669628,5.98252716237873,-2.8736161005592,2.64139441239241,3.0132045040776,-2.36830824097186
10,7.11725943962871,-5.35400347391136,-3.95403152086035,5.13903751501416,-3.19237750654454,2.88444402020031,3.17323220930479,-3.06803768536147
11,6.88853969926142,-5.59139743474359,-4.06607255602998,5.59385874730899,-2.88241866105539,2.99673587231279,2.80636051601183,-2.94703140730335
12,7.64046702574721,-5.05046399289211,-4.08852028015415,5.14500170856831,-0.498661535631477,1.8387704505179,0.865799490211325,-2.69173278334648
13,7.06183202658495,-5.61012613189022,-4.15009969245414,5.490845469631,-2.95056843629887,3.138644924631,3.06629575791531,-4.03111746961374
14,6.87226679376913,-5.15266136056731,-4.10665113229743,5.65263081702244,-2.85027711402257,3.04839980520012,2.83175181156289,-2.93494503251614
15,6.56154023828649,-5.18209102098773,-4.18057575605494,6.01381994332584,-2.78995664871833,2.88375415026986,2.20374038384639,-3.53154456204261
