"subj","region_C","reglen_C","std_res_f_coca_log","std_res_prevf_coca_log","prevwlen_C","std_res_nextf_coca_log","sspan.corr.st:region_C","sspan.corr.st:reglen_C"
0,3.63166084590165e-10,1.18054575661138e-20,0.00160622820497331,5.11614100746502e-05,6.96940741429262e-06,3.46035398023051e-06,0.0045560606151215,0.00686008358552034
1,2.77226246627098e-10,1.2884584548415e-20,0.00287223994982813,4.73185728777559e-05,7.29522464530803e-06,5.7531364659933e-06,0.00452499408029816,0.00713992532320355
2,6.23291160047585e-10,1.7690266916989e-20,0.00109613904835811,4.46228120786176e-05,2.55704602813648e-06,2.34791659442866e-06,0.00221293831538027,0.0080844045339119
3,2.25119800809603e-09,1.33870718238715e-19,0.00255025713924014,6.65516978875254e-05,5.58648859786911e-06,1.0271606940864e-05,0.00888675465452729,0.00817223162876538
4,2.16490697007179e-10,2.10504129331196e-20,0.00169510837758658,4.10967448759448e-05,8.62679440825294e-06,4.60939909911577e-06,0.0101674658654958,0.00915542983336885
5,1.11196714408277e-10,2.34093091155421e-20,0.00330021320139076,9.4780582200579e-05,1.26070105874007e-05,1.00905218124283e-05,0.00473674800262564,0.00684483747399456
6,2.58473570381144e-10,9.3870787196312e-21,0.00095305244274316,4.5167250957519e-05,1.50522400566762e-05,2.79872573454485e-06,0.0140011302709355,0.010120020539024
7,4.10600981531639e-11,4.39913290268257e-20,0.00447700233184083,4.92450338263552e-05,3.69003256547221e-06,3.40777780507325e-06,0.000839654012248817,0.0187168526873623
8,8.47916939269108e-10,1.32400242837767e-20,0.00144598105821256,4.87273211029624e-05,1.41912928111332e-05,4.20035062519261e-06,0.00362378827320762,0.010875034161177
9,6.97101258211335e-10,2.4859569785523e-21,0.000784657471264297,7.75040241969116e-05,1.24295605603887e-05,4.12597982580324e-06,0.00572780715281229,0.00454600385234448
10,1.84256742633939e-10,2.47927622402181e-21,0.00201790962253419,6.50032937657739e-05,1.32993573862128e-05,2.24558272197194e-06,0.00386378417595738,0.00531528276998019
11,1.76371072892129e-09,5.12198917389921e-20,0.00279492161413723,7.35405788547711e-05,3.93832713539058e-06,5.7950786542288e-06,0.00137424497073853,0.0060091512848663
12,3.62397897606618e-10,1.11573263632653e-21,0.000531021715553156,3.12430831993631e-05,1.85866636962278e-05,2.1584016645089e-06,0.00497871428358474,0.00810838620747747
13,2.62351418092129e-10,2.63228747191391e-20,0.000910618830768931,3.95050857415659e-05,1.09032463940897e-05,2.01978766624635e-06,0.00448993864952338,0.0064505603585969
14,2.43589583652994e-09,3.63895649228419e-20,0.00170808520633251,0.00011100550814147,6.1294589415149e-06,5.05296376041166e-06,0.0695847779049001,0.0141946432832405
15,3.16747182574365e-10,3.26808710053617e-20,0.0021127978036549,5.27378783901617e-05,2.13600436730181e-05,3.48888387473706e-06,0.0163373305743735,0.00824488557044015
16,3.06923079597256e-10,1.44381832049463e-20,0.00272589530324852,0.000113006126194177,1.41180159223739e-05,4.88387100083979e-06,0.00341055853424342,0.00670708141654454
17,4.14701320575312e-11,1.31053766719855e-20,0.00214095359059668,3.96191921783219e-05,1.38282102723501e-05,4.49973855397867e-06,0.00159889376051811,0.00549849354815766
18,1.38337530435597e-08,3.73257944489082e-20,0.000314823406347931,0.000143756961037693,8.10342024462542e-06,6.26778271541606e-06,0.00636383115012267,0.00583855461589002
19,9.21212640744566e-12,9.95583527117313e-21,0.00168453241258433,5.45032376603691e-05,2.8270019020235e-06,3.73486171494371e-06,0.00119077896692225,0.00682189892784063
20,7.57829229419117e-10,1.11728123641685e-20,0.00151502289624264,6.7114553245014e-05,5.35686377276598e-06,4.46370389271794e-06,0.00346055609638998,0.0084684796192801
21,6.6830925308307e-10,8.05701288257917e-21,0.00304481281947162,7.52269021187353e-05,6.42631137896453e-06,3.9369105049197e-06,0.00640481926756883,0.00544856554810382
22,2.15122893505157e-09,1.70701317214252e-20,0.00175128833138069,4.27717445265019e-05,1.12911178742138e-05,1.6272608106789e-06,0.0109308418181823,0.00796510869351796
23,3.08738771080088e-10,8.95031241585374e-21,0.000814337933268956,2.45095283438657e-05,1.13326763696903e-05,3.53011868092549e-06,0.00411060973149707,0.00711286408850195
24,1.50936088495604e-09,2.95314905096104e-19,0.00160183645653252,6.87866386012624e-05,6.05183694489268e-06,6.08138911083025e-06,0.00483228495037224,0.0077465191900647
25,2.63652768894176e-09,2.43309299735236e-20,0.00119348151635828,7.82999239460614e-05,4.52291466757402e-06,4.71596640166771e-06,0.00409623374491072,0.00675852067394258
26,5.23021924145876e-10,1.94172378148218e-20,0.00284255761058723,6.36354840612724e-05,7.21098322680231e-06,4.30175603156569e-06,0.00534797788029893,0.00765487187488748
27,2.73315331466916e-10,3.17810742915575e-21,0.00129303415360074,9.53571626897509e-05,1.58667318211881e-05,5.76167944304775e-06,0.00397577729070642,0.00536934455906905
28,2.75727161496982e-10,5.39171210103693e-20,0.00203437351123137,5.19684821431757e-05,4.49831766677486e-06,3.81177535647966e-06,0.00457849916795134,0.0071934937436934
29,5.18071743106075e-10,1.15321753894038e-20,0.00160942493336317,3.79507988276354e-05,3.62773705389659e-06,5.52478411812714e-06,0.0030612121345419,0.00751605595865282
30,4.01103376099893e-10,3.11421591270418e-20,0.00254437436628439,6.75971153070205e-05,3.46745034535685e-06,4.33368748920326e-06,0.00465758135106468,0.00712361178226611
31,4.56959263036884e-10,8.32623456159331e-21,0.00117340875731853,4.54234794925838e-05,6.70510564244908e-06,2.77989495890075e-06,0.00384530324133004,0.00734634880455936
