"subj","region_C","std_res_f_coca_log","reglen_C","std_res_prevf_coca_log","std_res_nextf_coca_log","gort.wpm.st:region_C","decod.comp_bct:reglen_C","gort.wpm.st:reglen_C","sspan.corr.st:reglen_C"
0,0.00684585957160594,1.60561458869223e-14,6.18642979894644e-89,0.000611100774050784,2.51458556618151e-05,6.86252227747949e-05,3.62269292399527e-06,9.59491397103208e-10,0.000208901079827897
1,0.00973694647353611,2.20627510202025e-14,3.7896843181209e-88,0.000440876009827706,2.69161814016875e-05,0.000259889774092644,5.81100514331032e-06,2.55644695508116e-09,0.000226421339335805
2,0.00739991027719347,1.5489070028749e-15,2.75771060154964e-93,0.000742123522117979,1.40102160726514e-05,5.46318412872781e-05,1.69812023917912e-06,3.42150011592235e-10,0.0272883337830566
3,0.0105716855401588,7.01482677672208e-15,7.07170302269471e-86,0.000295004434610277,2.86845437743488e-05,6.82982713232738e-05,2.98474076280077e-05,6.38961968906444e-10,0.000534948385824805
4,0.0350799902574857,2.20886989407652e-14,5.79895662302227e-91,0.000793678615943486,3.06685547740993e-05,0.000162168002656225,6.24932087800818e-07,1.62880304399684e-09,0.00526880750589084
5,0.00911974758505952,5.45499152178395e-14,7.2284314268285e-87,0.000682290291164898,1.88710123014433e-05,5.00989201360584e-05,2.26034849477463e-06,2.86847568934468e-09,0.000118498106633282
6,0.010691391440843,6.82977013771457e-14,3.26955264179719e-88,0.00137048399131962,5.0289350419446e-05,0.000307359854433496,1.08548671591582e-05,3.3957960916182e-08,0.00117063220029665
7,0.00781661720112344,3.71456624195889e-15,1.2559153787078e-91,0.000332713130507581,1.86969695854304e-05,5.19684041429512e-05,1.28429138237577e-05,2.93058569472359e-10,5.39545752214019e-05
8,0.00212943741264462,6.21115187612788e-15,9.19103070029262e-91,0.00089195669115048,1.80783724986295e-05,2.79969106664748e-05,4.91895521710622e-06,1.2403578042363e-09,0.000452248633497863
9,0.00457389916838617,1.22763875139824e-14,7.24994454617175e-88,0.000627737990187185,1.74589918560091e-05,0.000888554476588951,1.11143400524094e-05,3.53891107752566e-09,0.000191184585398311
10,0.00315250293896104,1.12812794538443e-14,2.88630750147236e-93,0.000952805876681361,5.21495376724446e-05,0.000324052779326165,0.000104189806228232,1.38270708536724e-10,6.8217339990558e-05
11,0.0104179183381522,9.38713333078357e-15,3.03479173353308e-87,0.000560834624306226,5.35624869292998e-05,0.000115874869607934,3.39187031362099e-06,8.14098834355601e-10,0.000173524236590412
12,0.00122581905061218,5.10025003272239e-15,2.51833860297358e-93,0.000686835707483638,2.08157680968991e-05,0.0061176104844529,8.74488128798916e-08,1.77892515983534e-11,0.000158564887569294
13,0.00748391741780966,5.60927259815385e-15,1.06183909972274e-92,0.000525270092348481,4.54128357766811e-05,4.68014614980646e-05,1.76583221553506e-07,3.15299805086623e-10,2.45060801078231e-05
14,0.00705472125387961,2.31477399594404e-14,7.35322166684203e-90,0.000654953808676616,2.78802836879873e-05,6.38534177127927e-05,5.13068125143482e-06,9.31540701462754e-10,0.00054951127276784
15,0.0124426459851092,1.30282325126894e-13,5.41560475934513e-82,0.000742283161595362,3.34362595642359e-05,0.000135375997436901,1.03639438175946e-07,7.3610746260802e-11,8.4352594082109e-08
16,0.00275052730949473,9.2570114996477e-15,8.48845016708862e-86,0.000895163018369164,3.74717032629411e-05,1.93962062817195e-06,0.000788859418706659,3.48248875459738e-13,0.0027720315652184
17,0.0161785569999085,4.48115125108267e-14,4.56554377044206e-85,0.000368164108298578,3.22438470979526e-05,9.4346966036296e-05,3.49070308290493e-05,6.41151213188287e-10,0.00042678946105805
18,0.00824753819820697,5.79686512191408e-14,5.14541515310921e-89,0.000572051132443204,2.80772019139143e-05,0.00354954740058922,4.6360075185526e-06,5.5819461550262e-07,0.00023583400872482
19,0.0141473649832569,9.19662467726562e-14,1.67264841429712e-86,0.000702856152296141,3.78161353681201e-05,4.24153649238177e-05,5.25756372226354e-06,1.05222102825264e-09,0.00024013097775003
20,0.00660031007582476,2.87385259017401e-14,6.32370090959124e-88,0.000504231375335278,2.11265378909843e-05,7.70591267753458e-05,1.00178540018418e-05,7.97924679159101e-10,0.000418787797994961
21,0.00521077000541103,2.38316630707175e-14,5.90452023001624e-86,0.000877866573768859,3.36701066967014e-05,0.000119532771011631,3.32989037681731e-05,3.06097971904475e-09,0.000354131026007302
