"subj","region_C","std_res_f_coca_log","reglen_C","std_res_prevf_coca_log","std_res_nextf_coca_log","gort.wpm.st:region_C","decod.comp_bct:reglen_C","gort.wpm.st:reglen_C","sspan.corr.st:reglen_C"
0,2.82719431613525,-6.86239971982057,20.0965595016553,-3.60081951552278,-4.40150401697999,4.06570689963553,-4.87365904301942,-6.35299444677624,3.89829215749937
1,2.69798979719706,-6.77868910295967,20.007099491658,-3.69029505067208,-4.38594332282267,3.73132793248979,-4.77292829676473,-6.19759492575524,3.87815887420833
2,2.77798189779327,-7.09229159503076,20.57591914266,-3.54581335117678,-4.53524090876413,4.10483227617392,-4.9259953012503,-6.59293030533145,2.44690585075466
3,2.66097207746791,-6.84348110911265,19.7702861308199,-3.79832825638483,-4.36875161305703,4.11119078788865,-4.58981013014473,-6.29652887642612,3.48473130930194
4,2.18280222244977,-6.75316650032473,20.3246623410781,-3.52387737068663,-4.35538598453988,3.97623587631241,-5.17735102620737,-6.32706731278729,3.01871530350129
5,2.71923639513152,-6.79496909881617,19.8929450987181,-3.57333579181617,-4.46254650690859,4.20124388521073,-5.08714319429026,-6.06602737293853,3.90091302377703
6,2.67071952264499,-6.67584350244527,20.0112165106819,-3.36848415478376,-4.24258762351573,3.68542812533012,-4.65856917216804,-5.73298209680818,3.39637521945671
7,2.7638142688199,-6.96927503002168,20.4050750453845,-3.76662501667633,-4.46911657508347,4.1596222890622,-4.54110030391859,-6.55758104373276,4.25097533830388
8,3.21437851965104,-6.91882264216276,20.3015260147584,-3.49350065839973,-4.47568225447431,4.29748402543624,-4.81799389278316,-6.30193759359782,3.67493981233006
9,2.96622934865697,-6.85489928403339,19.9695374252916,-3.59322759708961,-4.48517734373498,3.39305617432038,-4.62188710198514,-6.13395519371886,3.92385965913542
10,3.1009084415585,-6.81227884651086,20.580919959246,-3.47476801862364,-4.22927987486232,3.73420750980743,-4.23424258653071,-6.61366643441044,4.10933522775678
11,2.76847320839874,-6.95116498744705,19.9398524942074,-3.6239343074463,-4.227657378499,3.94029430523115,-4.92055495219137,-6.38208638446537,3.96264741121832
12,3.37543810019671,-6.98065498446007,20.564073078754,-3.56759978932617,-4.44061911284138,3.04950513364082,-5.57570949403821,-6.84846776905109,3.80376149513557
13,2.80629929813344,-6.91733232045892,20.520425355191,-3.64479253500048,-4.26492859694788,4.13745340030806,-5.48843302689609,-6.49211139925635,4.37627714895557
14,2.83200105969045,-6.7735490875675,20.2014398878825,-3.58326922570672,-4.38067149692728,4.08486559829265,-4.81847319065233,-6.36172944792819,3.66714781373735
15,2.603958374807,-6.6765692420468,19.3341708042168,-3.55013475799463,-4.33123559984246,3.96488599256037,-5.70921500267814,-6.58413263029578,5.35865210618135
16,3.14138625192603,-6.86012189879176,19.7332553561516,-3.48900330131326,-4.31122335375917,4.92410068310522,-3.45167799637756,-7.54481493522647,3.28466550948861
17,2.50020590432347,-6.698685351193,19.6604016159301,-3.73819359130885,-4.34217343429326,4.03597131520875,-4.45903847412406,-6.36998480952758,3.63569149145773
18,2.76816987209761,-6.71494237648192,20.1082066118617,-3.61811875396645,-4.37677080916364,2.99865458044889,-4.81624672270757,-5.21235923823434,3.86978359987365
19,2.60656317916291,-6.68067011774577,19.8114394490652,-3.5675811414493,-4.30781522822828,4.07248343800257,-4.84079371210864,-6.33427651247144,3.872891835498
20,2.84071952861444,-6.77707337021908,19.9812215486263,-3.65416328349007,-4.44121653651995,4.03803532221612,-4.65964951985153,-6.37857444532526,3.70479047905735
21,2.88873803907763,-6.7476551481279,19.7740293155973,-3.50043296452923,-4.33415315437184,3.90519809887231,-4.50999092064169,-6.10008508463212,3.68227915458546
22,2.35366201318209,-6.72747864876058,19.8742675545562,-3.66346328589883,-4.41172152987212,4.84669829763279,-5.0051288563942,-5.9733914475185,3.67234818149624
23,2.75680905713058,-6.87738336510463,19.980612745542,-3.63535123504853,-4.44240727102896,4.07084972168791,-4.62626012434596,-6.35407356438331,3.70278085869424
24,2.76073146410997,-6.6864114826046,19.6623451833205,-3.45813014441071,-4.30727972729398,4.03661247894731,-4.98212031434181,-6.17493122613991,3.87087151135846
25,3.41884837729562,-6.76282094274789,20.589913857652,-3.50228940754806,-4.43546272221766,3.56009955157632,-4.7850804352742,-6.64922527033452,3.91939730751209
26,2.76509973069837,-6.75553401445832,20.0149291829053,-3.58393568580129,-4.33299752674723,3.92547472365396,-5.26816424944384,-5.78191171731825,4.09942862039998
27,2.776195874299,-6.84861582000361,19.959497077425,-3.57094585749119,-4.34982527957402,3.91178011311119,-4.89798811815981,-6.50860654391637,3.93244384921523
28,2.94373039889015,-6.73903847390663,20.068851382508,-3.61158138466839,-4.41753207998303,4.23554025182811,-4.6606381177825,-6.18561001978735,3.88971814298925
