"subj","std_res_f_coca_log","reglen_C","std_res_prevf_coca_log","std_res_nextf_coca_log","gort.wpm.st:region_C","sspan.corr.st:region_C","decod.comp_bct:reglen_C","gort.wpm.st:reglen_C","sspan.corr.st:reglen_C"
0,7.84913778130692e-15,8.07949921167567e-80,1.40379123252269e-07,5.68885377348958e-08,0.0049826002645338,0.000191230519160613,3.35462649421531e-05,1.09756305537097e-06,7.39971286819131e-07
1,1.81525604715212e-14,2.18378322372569e-79,8.66074137625071e-08,8.74661591393515e-08,0.016854034056153,0.000232808953127201,2.77243369155138e-05,5.37448999979837e-06,1.0050697504982e-06
2,1.34306011636808e-15,3.01707547316436e-83,1.55953989800515e-07,1.58252823518218e-08,0.00485528582129846,3.35427448557818e-05,2.0047221284426e-05,6.44941804664505e-07,0.000434817273432198
3,7.45489245108997e-15,2.38725067495908e-77,1.2054320439671e-07,1.02385748172377e-07,0.00418962500766863,0.000244747623848581,0.000178789892331999,7.09799007284081e-07,2.02566733491989e-06
4,4.79557516465415e-15,2.99457085331679e-81,2.10659973499739e-07,1.32115592279772e-07,0.00785749498455843,0.0154093894908682,1.01052430204665e-05,1.50380621169377e-06,3.21147763569611e-05
5,7.76763137957209e-14,2.23036303481608e-78,2.6973218068249e-07,1.10559555149171e-07,0.00247686106324857,0.000466687757892298,3.42912082422357e-05,1.30092666208436e-06,6.72228159455973e-07
6,6.52721835848117e-15,9.80009838807133e-80,2.78948954059691e-07,7.79042234068304e-08,0.0153338238821434,0.000897124917299546,8.69928701954563e-05,1.54260925306395e-05,8.46719138684841e-06
7,1.55413203333614e-14,1.0854824885015e-80,8.18803445136586e-08,3.57778187843342e-08,0.00166842522147406,2.27793143992256e-05,4.22941598616901e-05,9.78776768236624e-07,9.69949122542501e-07
8,4.9766604125993e-15,6.77498267757154e-80,2.18812908832928e-07,5.940031312964e-08,0.00284574530488958,3.34895349267169e-05,2.68742274299913e-05,8.0526724462609e-07,5.35051261752042e-07
9,4.87706430840578e-15,6.1890168119106e-80,2.24682209944002e-07,6.5513725378337e-08,0.054576136802768,0.000419603666481377,0.000395917725500394,1.71458768536509e-07,3.3907535986218e-07
10,6.88982880705585e-15,1.78951977506211e-83,2.09640772907698e-07,7.51167765477236e-08,0.008375393483173,0.000359062679001138,0.000664412140153628,2.41477176296541e-07,1.90799033692288e-07
11,1.17417779307159e-14,5.01131974061907e-78,1.34136004903959e-07,9.80304573276418e-08,0.00439462795602107,0.000148181880181468,4.37592924497401e-05,1.11312682410387e-06,7.22955074595144e-07
12,7.60947579404961e-16,7.04437714507709e-85,6.12567763006681e-08,2.58088509651251e-08,0.0246458904489724,0.000191740540247786,1.28232529594742e-06,4.23509439800444e-08,5.06845372575436e-07
13,2.96066730427255e-15,2.1559435783966e-80,1.24613206614535e-07,7.46463455121557e-08,0.00418896167167558,0.000104925512282115,1.36250392607607e-05,7.25903986313928e-07,2.86910472121116e-07
14,7.99597438687083e-15,8.99026606706681e-80,2.8213589482678e-07,1.15010643997252e-07,0.00524685578884452,0.0439471434526759,3.45536879697303e-06,9.8178934333794e-07,0.000306080706582479
15,7.78154243245869e-14,6.26616626531903e-76,1.45514439499065e-07,5.6859865926538e-08,0.00577961078335391,0.00125169980109183,1.06218369159515e-06,1.09229858675208e-07,4.32093317481731e-11
16,1.74460641402191e-14,3.08365074940364e-78,3.44038116070291e-07,7.37898930316012e-08,0.00649308658465115,0.000209390502297988,0.000525554480034194,8.18446485160938e-08,5.26821777599326e-06
17,1.51911437072402e-14,3.65707336999803e-78,7.82714035490104e-08,9.06856213707413e-08,0.00732529017274244,6.92537068493069e-05,4.68825810436378e-05,1.22077427377608e-06,8.49103045046011e-07
18,2.21875057981791e-14,4.93592676550293e-78,2.17979288870699e-07,7.51188743164186e-08,2.21046027685174e-05,0.000398220685282508,8.61440640138643e-05,4.99476814501054e-06,1.07717730417447e-06
19,4.89914567666185e-14,3.03378904388641e-78,1.61393429793855e-07,6.61245608695864e-08,0.00208503853347242,9.04121910491743e-06,3.72304925844313e-05,1.20820137909946e-06,1.23393393711093e-06
20,6.59929705898055e-15,1.50156814183442e-79,1.39913093230496e-07,7.15137822559592e-08,0.0054295349147406,0.000184501006151504,8.61852013336966e-05,8.82648070139725e-07,1.98442676461542e-06
21,4.79872151284295e-14,8.01928093805387e-79,2.61129575221764e-07,8.97253595061522e-08,0.00615799210226063,0.000255132626567212,1.26043921276453e-05,6.50956553657045e-07,5.25068718316629e-07
22,1.42456843422829e-14,9.56721159020462e-79,9.67733235858221e-08,2.91750365983502e-08,0.000887856622268088,4.03680197829515e-05,4.13229335502178e-05,2.23096761625378e-06,1.22842369323661e-06
23,3.43497920867608e-15,1.39119437339021e-79,6.82777432718635e-08,4.62180159368695e-08,0.0056698409694803,0.00021204133370003,9.21467658609733e-05,1.02519699358946e-06,2.44184916001124e-06
24,1.61209877440904e-14,2.27575714288567e-75,5.89137890910397e-07,1.86090535379225e-07,0.00793954783162073,0.000196973862034894,9.81219876327973e-07,1.17176857495049e-05,7.15307307245132e-07
25,1.47739982128849e-15,7.52287982619634e-82,3.11591085832143e-07,3.15976761867004e-08,0.0114288528205113,2.86630121431383e-05,2.75657473988622e-05,6.76345425037753e-07,7.1197924449431e-07
26,2.07848951996823e-14,1.81722687670109e-79,1.64915861901376e-07,8.64307837628179e-08,0.00818326917111927,0.000174027033749465,1.49566758679569e-06,2.75982340538521e-05,1.29376174872202e-07
27,1.14853232393883e-14,1.33176496630236e-79,2.21380273077847e-07,8.04038681009029e-08,0.00540955308252386,0.000202738494914976,3.7910671632543e-05,5.49581640389424e-08,2.96170054588479e-07
28,9.39595036435023e-15,3.91428003978532e-79,1.13650662535803e-07,4.71517730539834e-08,0.00546065852501166,0.00021474963407816,8.32818536372819e-05,3.67385725497279e-06,9.86755319643477e-07
29,3.04662649536967e-14,8.78997149976223e-79,9.23621234027398e-08,9.02263045038188e-08,0.000944288690459115,3.28633816258914e-05,6.68151041337263e-05,3.59376860514941e-06,2.09770075378271e-06
30,1.74713870793884e-14,5.75607867868932e-77,2.48487900128541e-07,1.01558659008137e-07,0.00520021759349173,0.000199317011056678,6.93166638167854e-05,1.26102443611282e-06,9.55213836678625e-07
31,3.97319818173261e-15,1.0267587909233e-80,9.25564801994054e-08,3.43929679795103e-08,0.00484349295323074,0.000300538381364122,1.98711775066352e-05,9.50793261819614e-07,2.29158693269388e-06
32,5.75770663431273e-15,3.59416767596515e-79,7.27714446854166e-08,7.14643387977335e-08,0.00550263124003635,0.00019527996032371,3.42901202230386e-05,2.21483724579618e-06,8.32932797657895e-07
33,1.70328266867258e-14,3.29925867633551e-78,6.03237553971215e-08,8.64209849289284e-08,0.0192287324621881,0.000163100234559976,3.54816778593002e-05,5.76510940521569e-06,7.23699607447503e-07
34,6.36181295957888e-16,2.49112896304191e-79,9.83724445747642e-08,3.2590488594096e-08,0.00215702998162126,1.700565986523e-05,0.000677800262336604,4.31598747581159e-06,7.1796070819525e-05
35,1.04222522131724e-14,3.00211849109029e-80,1.02285793683038e-07,6.80283332431801e-08,0.00141959391377661,0.000196542781545656,4.60448473381061e-05,1.3558199430688e-06,7.60068860761575e-07
36,2.13386127976831e-14,1.43500156531925e-79,1.37405164285975e-07,4.22669913381692e-08,0.00707482058398572,0.000703443458691364,4.17258513127772e-05,2.84957268886115e-06,1.11094128073525e-05
37,4.08621066057522e-14,6.32627394089545e-77,2.7636312580283e-07,5.29736942437131e-08,0.0504898241640991,3.4947217764831e-06,0.000214658113646588,7.50515249528052e-05,6.4372377750766e-09
38,3.92693760455769e-14,2.16662319217369e-76,7.61288371272611e-08,3.68841076400095e-08,0.0108931117373919,0.000643688502857664,0.064630566765221,6.3242262195569e-05,0.000112988713303327
39,1.3575994913511e-14,1.65209789348253e-78,1.98467180139003e-07,3.90772583488916e-08,0.00633314783579258,0.000188907486714043,4.22439233887324e-05,7.34230680859456e-07,9.0846093871925e-07
40,5.55962743654911e-15,7.92892813376524e-78,2.81666018084785e-07,6.42595966346344e-08,0.00863557991761336,0.00128454760625464,3.84895311075365e-05,1.2988339235044e-06,1.39878005449998e-06
41,2.01544145251257e-14,7.28624483633341e-76,1.61943979245003e-07,1.18311713705502e-07,0.0051004330789808,0.000259613762942072,2.57356620910182e-06,1.62671765208631e-06,3.87448547159361e-07
42,6.82130761294343e-15,1.67001259285076e-76,1.00643826329747e-07,7.60397917364013e-08,0.00444814393862527,0.000302626734971333,7.19868172036148e-05,1.47024355197709e-06,1.79243359581411e-07
