"subj","std_res_f_coca_log","reglen_C","std_res_prevf_coca_log","std_res_nextf_coca_log","gort.wpm.st:region_C","sspan.corr.st:region_C","decod.comp_bct:reglen_C","gort.wpm.st:reglen_C","sspan.corr.st:reglen_C"
0,-6.75781097328204,19.0275015660882,-5.4435833465678,-5.61087027606673,3.01216054016814,-3.96964043555663,-4.19090817476467,-5.27750355616045,5.35525669307316
1,-6.62915549810887,18.9726082277587,-5.53151554236653,-5.53340598456665,2.56761085294218,-3.92749713188494,-4.23150294645389,-4.95596836028409,5.29721014846865
2,-6.86243665518501,19.4175046616703,-5.42415354803933,-5.83562391725898,2.98142319386879,-4.36224801102107,-4.2147457198969,-5.44514763661369,4.06166908825532
3,-6.66624898938933,18.7371605618293,-5.47712501845302,-5.50318828610544,3.02178193650347,-3.84385481961521,-3.92756509932254,-5.25085052596631,4.99533188065702
4,-6.73372871822995,19.1874011640831,-5.3683340759619,-5.45935958853714,2.94518194020411,-2.73857453022344,-4.41244485330339,-5.2612997275093,4.64824237440994
5,-6.64838846060879,18.840129835524,-5.3224829195851,-5.48871103981295,3.37149135025691,-3.97151302047374,-4.22096037461128,-5.18896214341705,5.34637202271317
6,-6.76669261512414,19.0246311213214,-5.31771623789241,-5.55107042052445,2.58888105768856,-3.52639056937478,-3.97636374156121,-4.67421796417045,4.80359723219194
7,-6.61904341665831,19.1214374865893,-5.53834123468298,-5.69189431167904,3.3965854028351,-4.51119145846897,-4.14435257198038,-5.26793425224524,5.2252193450226
8,-6.73772227854268,19.0408732221941,-5.36080177913143,-5.60274724905639,3.21367416391231,-4.41334736810836,-4.23171319770257,-5.33801040897066,5.39915659491961
9,-6.77893885311886,19.0382746003031,-5.3568210364327,-5.58677580768928,2.02854064200697,-3.7542904181328,-3.56630076926112,-5.62002484997514,5.50867266932592
10,-6.69417425325513,19.47683569764,-5.36979214285268,-5.55955606750194,2.8663506089589,-3.85630857247754,-3.50599298925444,-5.54652337355801,5.57356497713944
11,-6.73539818951247,18.885576936846,-5.44975832112619,-5.51162637825271,3.07402856657678,-4.02803483209351,-4.08076170855204,-5.20867572854035,5.23451285894219
12,-6.95454208350309,19.6418809226789,-5.59596254600776,-5.74567743585078,2.56978763733169,-4.08384433587503,-4.99214126632175,-5.83721860123884,5.25825190815819
13,-6.8605029746672,19.0991714238191,-5.46732277032416,-5.56280670469622,3.05324508403046,-4.11173028703298,-4.40981214935995,-5.34370465741515,5.5316406319362
14,-6.67004488248995,19.0405962907034,-5.3141558795261,-5.48606474120984,3.09512247679946,-2.29170515662214,-4.60914280962976,-5.36588347252644,4.14913712667154
15,-6.72060881254959,18.5683460933323,-5.44326691918884,-5.60551390225704,2.99540489319126,-3.55872041484142,-5.12882128614431,-5.55660060090008,6.89533162777802
16,-6.6273748517217,18.8524494338197,-5.27793460856315,-5.56367811002838,2.90077422442914,-3.96253716051901,-3.46933642963322,-5.72756645015198,5.04959254029858
17,-6.63488293711185,18.8164207996405,-5.54926045042514,-5.5264644450713,2.9590215954663,-4.3155850027831,-4.11113347792408,-5.26017197360377,5.29790023239381
18,-6.6005325426982,18.8129440250026,-5.36018081453108,-5.56072104710059,4.49884714227544,-3.79246176295745,-3.96472170172644,-4.90717285662753,5.28543433392304
19,-6.5993986153762,18.8589957485745,-5.42232681727172,-5.58189121084759,3.07726472529812,-4.39467354098641,-4.16674300456,-5.27110700985116,5.34074195185665
20,-6.78293241493286,18.9974633414396,-5.44463772268237,-5.57029063500222,2.98277869405021,-3.97787095894679,-3.96837108999703,-5.31617979047582,5.14603771964757
21,-6.56550445176714,18.8788514990921,-5.3307166238917,-5.53141551557208,2.9109179882685,-3.85247742716877,-4.32580484525672,-5.37575130593351,5.43888065039997
22,-6.65288577867642,18.9014074875264,-5.51175587844551,-5.72853171864192,3.52682298578226,-4.32220851016375,-4.13644014325263,-5.14853608220253,5.26955599118553
23,-6.83149683006931,18.9960435328534,-5.57076501828887,-5.64698256180604,2.96240187614381,-3.94661398235382,-3.94431132450016,-5.28989678668141,5.11501342862287
24,-6.61441170441944,18.4820617378977,-5.17451452393444,-5.39568500342777,2.83304709269455,-3.94514454992429,-5.00358907325813,-4.73016486514271,5.30634776470357
25,-6.83921963289698,19.2424286287856,-5.29932172881856,-5.72384949244396,2.47602102583331,-4.06863715968356,-4.20948707842828,-5.35073910477958,5.41418648892758
26,-6.64425496218626,18.9902082664744,-5.41427861555781,-5.53560174800447,2.82532627976857,-3.99169574842793,-4.91160327030508,-4.52756953981665,5.65479016183527
27,-6.73023817067256,19.0154929043124,-5.36232111392219,-5.54720140637954,2.98980744202334,-3.95309218432444,-4.26998768727048,-5.80945023097853,5.43455827990041
28,-6.67935045359801,18.9312265890073,-5.48308345139299,-5.64595202956727,2.98918530997139,-3.9344880942246,-3.9602663511183,-5.09235063097149,5.32536607685586
