"Label","Mean","SD","Min.","25%","50%","75%","Max.","Skewness","Kurtosis"
"tffixurt",169.916764904008,113.846623210556,4,112.5,156,186,1802,3.87856814741504,31.1133193216016
"fpurt",281.677500842034,138.204537234124,52,188,240,340,1000,1.61678896294395,3.25357870042804
"res_fpurt",-0.0400265001403439,127.62416759583,-409.170564136098,-79.1240723505406,-24.6531889517212,53.65404,733.991562290553,1.35475651365712,3.14801247882655
"fpregres",0.161460087571573,0.367962536292968,0,0,0,0,1,1.84023310885686,1.38657464219133
"fpregres_in",0.23488548332772,0.42393615043852,0,0,0,0,1,1.25083384293132,-0.435451370969731
"ffos",2.127357696194,1.68823661133095,0,1,2,3,13,0.712413861403015,0.41523889618937
"ffixurt",237.640619737285,97.4697945048104,52,176,216,272,996,1.91821980369125,6.23907100385584
"rpurt",363.388514651398,290.155900478942,52,200,272,424,5720,4.44666404783383,37.005256214962
"spurt",76.001178848097,177.228341096077,0,0,0,0,2320,3.66064902449565,20.074547438382
"turt",357.678679690131,224.270369583324,52,204,288,440,3080,2.3242542413596,9.71057962264551
